WARNING 2024-10-14 00:38:45,745 models excute select_network() not exist sensor_network matched topic:ICCMS/Test Location1/Test Location2/Test Device2/Test Device1/Test Sensor1/Register
DEBUG 2024-10-16 15:25:10,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:11,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:12,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:12,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:13,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:13,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:14,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:15,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:15,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:16,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:17,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:17,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:18,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:18,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:19,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:19,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:20,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:21,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:21,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:22,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:22,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:23,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:23,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:24,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:24,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:25,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:25,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:26,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:26,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:27,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:27,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:28,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:29,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:29,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:30,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:30,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:31,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:31,003 tasks excute check_plug()
DEBUG 2024-10-16 15:25:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:33,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:34,003 tasks excute check_plug()
DEBUG 2024-10-16 15:25:34,004 tasks excute check_plug()
DEBUG 2024-10-16 15:25:35,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:35,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:36,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:36,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:38,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:38,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:39,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:39,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:40,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:41,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:41,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:42,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:42,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:43,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:44,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:44,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:45,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:45,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:46,000 tasks excute check_plug()
DEBUG 2024-10-16 15:25:46,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:48,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:48,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:49,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:49,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:50,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:50,001 tasks excute check_plug()
DEBUG 2024-10-16 15:25:51,002 tasks excute check_plug()
DEBUG 2024-10-16 15:25:51,004 tasks excute check_plug()
